PassengerId,Survived,Sex,Pclass,Age,Fare,SibSp,Parch,Embarked
892,0,male,3,34.5,7.8292,0,0,2
893,1,female,3,47.0,7.0,1,0,0
894,0,male,2,62.0,9.6875,0,0,2
895,0,male,3,27.0,8.6625,0,0,0
896,1,female,3,22.0,12.2875,1,1,0
897,0,male,3,14.0,9.225,0,0,0
898,1,female,3,30.0,7.6292,0,0,2
899,0,male,2,26.0,29.0,1,1,0
900,1,female,3,18.0,7.2292,0,0,1
901,0,male,3,21.0,24.15,2,0,0
902,0,male,3,,7.8958,0,0,0
903,0,male,1,46.0,26.0,0,0,0
904,1,female,1,23.0,82.2667,1,0,0
905,0,male,2,63.0,26.0,1,0,0
906,1,female,1,47.0,61.175,1,0,0
907,1,female,2,24.0,27.7208,1,0,1
908,0,male,2,35.0,12.35,0,0,2
909,0,male,3,21.0,7.225,0,0,1
910,1,female,3,27.0,7.925,1,0,0
911,1,female,3,45.0,7.225,0,0,1
912,0,male,1,55.0,59.4,1,0,1
913,0,male,3,9.0,3.1708,0,1,0
914,1,female,1,,31.6833,0,0,0
915,0,male,1,21.0,61.3792,0,1,1
916,1,female,1,48.0,262.375,1,3,1
917,0,male,3,50.0,14.5,1,0,0
918,1,female,1,22.0,61.9792,0,1,1
919,0,male,3,22.5,7.225,0,0,1
920,0,male,1,41.0,30.5,0,0,0
921,0,male,3,,21.6792,2,0,1
922,0,male,2,50.0,26.0,1,0,0
923,0,male,2,24.0,31.5,2,0,0
924,1,female,3,33.0,20.575,1,2,0
925,1,female,3,,23.45,1,2,0
926,0,male,1,30.0,57.75,1,0,1
927,0,male,3,18.5,7.2292,0,0,1
928,1,female,3,,8.05,0,0,0
929,1,female,3,21.0,8.6625,0,0,0
930,0,male,3,25.0,9.5,0,0,0
931,0,male,3,,56.4958,0,0,0
932,0,male,3,39.0,13.4167,0,1,1
933,0,male,1,,26.55,0,0,0
934,0,male,3,41.0,7.85,0,0,0
935,1,female,2,30.0,13.0,0,0,0
936,1,female,1,45.0,52.5542,1,0,0
937,0,male,3,25.0,7.925,0,0,0
938,0,male,1,45.0,29.7,0,0,1
939,0,male,3,,7.75,0,0,2
940,1,female,1,60.0,76.2917,0,0,1
941,1,female,3,36.0,15.9,0,2,0
942,0,male,1,24.0,60.0,1,0,0
943,0,male,2,27.0,15.0333,0,0,1
944,1,female,2,20.0,23.0,2,1,0
945,1,female,1,28.0,263.0,3,2,0
946,0,male,2,,15.5792,0,0,1
947,0,male,3,10.0,29.125,4,1,2
948,0,male,3,35.0,7.8958,0,0,0
949,0,male,3,25.0,7.65,0,0,0
950,0,male,3,,16.1,1,0,0
951,1,female,1,36.0,262.375,0,0,1
952,0,male,3,17.0,7.8958,0,0,0
953,0,male,2,32.0,13.5,0,0,0
954,0,male,3,18.0,7.75,0,0,0
955,1,female,3,22.0,7.725,0,0,2
956,0,male,1,13.0,262.375,2,2,1
957,1,female,2,,21.0,0,0,0
958,1,female,3,18.0,7.8792,0,0,2
959,0,male,1,47.0,42.4,0,0,0
960,0,male,1,31.0,28.5375,0,0,1
961,1,female,1,60.0,263.0,1,4,0
962,1,female,3,24.0,7.75,0,0,2
963,0,male,3,21.0,7.8958,0,0,0
964,1,female,3,29.0,7.925,0,0,0
965,0,male,1,28.5,27.7208,0,0,1
966,1,female,1,35.0,211.5,0,0,1
967,0,male,1,32.5,211.5,0,0,1
968,0,male,3,,8.05,0,0,0
969,1,female,1,55.0,25.7,2,0,0
970,0,male,2,30.0,13.0,0,0,0
971,1,female,3,24.0,7.75,0,0,2
972,0,male,3,6.0,15.2458,1,1,1
973,0,male,1,67.0,221.7792,1,0,0
974,0,male,1,49.0,26.0,0,0,0
975,0,male,3,,7.8958,0,0,0
976,0,male,2,,10.7083,0,0,2
977,0,male,3,,14.4542,1,0,1
978,1,female,3,27.0,7.8792,0,0,2
979,1,female,3,18.0,8.05,0,0,0
980,1,female,3,,7.75,0,0,2
981,0,male,2,2.0,23.0,1,1,0
982,1,female,3,22.0,13.9,1,0,0
983,0,male,3,,7.775,0,0,0
984,1,female,1,27.0,52.0,1,2,0
985,0,male,3,,8.05,0,0,0
986,0,male,1,25.0,26.0,0,0,1
987,0,male,3,25.0,7.7958,0,0,0
988,1,female,1,76.0,78.85,1,0,0
989,0,male,3,29.0,7.925,0,0,0
990,1,female,3,20.0,7.8542,0,0,0
991,0,male,3,33.0,8.05,0,0,0
992,1,female,1,43.0,55.4417,1,0,1
993,0,male,2,27.0,26.0,1,0,0
994,0,male,3,,7.75,0,0,2
995,0,male,3,26.0,7.775,0,0,0
996,1,female,3,16.0,8.5167,1,1,1
997,0,male,3,28.0,22.525,0,0,0
998,0,male,3,21.0,7.8208,0,0,2
999,0,male,3,,7.75,0,0,2
1000,0,male,3,,8.7125,0,0,0
1001,0,male,2,18.5,13.0,0,0,0
1002,0,male,2,41.0,15.0458,0,0,1
1003,1,female,3,,7.7792,0,0,2
1004,1,female,1,36.0,31.6792,0,0,1
1005,1,female,3,18.5,7.2833,0,0,2
1006,1,female,1,63.0,221.7792,1,0,0
1007,0,male,3,18.0,14.4542,1,0,1
1008,0,male,3,,6.4375,0,0,1
1009,1,female,3,1.0,16.7,1,1,0
1010,0,male,1,36.0,75.2417,0,0,1
1011,1,female,2,29.0,26.0,1,0,0
1012,1,female,2,12.0,15.75,0,0,0
1013,0,male,3,,7.75,1,0,2
1014,1,female,1,35.0,57.75,1,0,1
1015,0,male,3,28.0,7.25,0,0,0
1016,0,male,3,,7.75,0,0,2
1017,1,female,3,17.0,16.1,0,1,0
1018,0,male,3,22.0,7.7958,0,0,0
1019,1,female,3,,23.25,2,0,2
1020,0,male,2,42.0,13.0,0,0,0
1021,0,male,3,24.0,8.05,0,0,0
1022,0,male,3,32.0,8.05,0,0,0
1023,0,male,1,53.0,28.5,0,0,1
1024,1,female,3,,25.4667,0,4,0
1025,0,male,3,,6.4375,1,0,1
1026,0,male,3,43.0,7.8958,0,0,0
1027,0,male,3,24.0,7.8542,0,0,0
1028,0,male,3,26.5,7.225,0,0,1
1029,0,male,2,26.0,13.0,0,0,0
1030,1,female,3,23.0,8.05,0,0,0
1031,0,male,3,40.0,46.9,1,6,0
1032,1,female,3,10.0,46.9,5,2,0
1033,1,female,1,33.0,151.55,0,0,0
1034,0,male,1,61.0,262.375,1,3,1
1035,0,male,2,28.0,26.0,0,0,0
1036,0,male,1,42.0,26.55,0,0,0
1037,0,male,3,31.0,18.0,3,0,0
1038,0,male,1,,51.8625,0,0,0
1039,0,male,3,22.0,8.05,0,0,0
1040,0,male,1,,26.55,0,0,0
1041,0,male,2,30.0,26.0,1,1,0
1042,1,female,1,23.0,83.1583,0,1,1
1043,0,male,3,,7.8958,0,0,1
1044,0,male,3,60.5,,0,0,0
1045,1,female,3,36.0,12.1833,0,2,0
1046,0,male,3,13.0,31.3875,4,2,0
1047,0,male,3,24.0,7.55,0,0,0
1048,1,female,1,29.0,221.7792,0,0,0
1049,1,female,3,23.0,7.8542,0,0,0
1050,0,male,1,42.0,26.55,0,0,0
1051,1,female,3,26.0,13.775,0,2,0
1052,1,female,3,,7.7333,0,0,2
1053,0,male,3,7.0,15.2458,1,1,1
1054,1,female,2,26.0,13.5,0,0,0
1055,0,male,3,,7.0,0,0,0
1056,0,male,2,41.0,13.0,0,0,0
1057,1,female,3,26.0,22.025,1,1,0
1058,0,male,1,48.0,50.4958,0,0,1
1059,0,male,3,18.0,34.375,2,2,0
1060,1,female,1,,27.7208,0,0,1
1061,1,female,3,22.0,8.9625,0,0,0
1062,0,male,3,,7.55,0,0,0
1063,0,male,3,27.0,7.225,0,0,1
1064,0,male,3,23.0,13.9,1,0,0
1065,0,male,3,,7.2292,0,0,1
1066,0,male,3,40.0,31.3875,1,5,0
1067,1,female,2,15.0,39.0,0,2,0
1068,1,female,2,20.0,36.75,0,0,0
1069,0,male,1,54.0,55.4417,1,0,1
1070,1,female,2,36.0,39.0,0,3,0
1071,1,female,1,64.0,83.1583,0,2,1
1072,0,male,2,30.0,13.0,0,0,0
1073,0,male,1,37.0,83.1583,1,1,1
1074,1,female,1,18.0,53.1,1,0,0
1075,0,male,3,,7.75,0,0,2
1076,1,female,1,27.0,247.5208,1,1,1
1077,0,male,2,40.0,16.0,0,0,0
1078,1,female,2,21.0,21.0,0,1,0
1079,0,male,3,17.0,8.05,2,0,0
1080,1,female,3,,69.55,8,2,0
1081,0,male,2,40.0,13.0,0,0,0
1082,0,male,2,34.0,26.0,1,0,0
1083,0,male,1,,26.0,0,0,0
1084,0,male,3,11.5,14.5,1,1,0
1085,0,male,2,61.0,12.35,0,0,2
1086,0,male,2,8.0,32.5,0,2,0
1087,0,male,3,33.0,7.8542,0,0,0
1088,0,male,1,6.0,134.5,0,2,1
1089,1,female,3,18.0,7.775,0,0,0
1090,0,male,2,23.0,10.5,0,0,0
1091,1,female,3,,8.1125,0,0,0
1092,1,female,3,,15.5,0,0,2
1093,0,male,3,0.33,14.4,0,2,0
1094,0,male,1,47.0,227.525,1,0,1
1095,1,female,2,8.0,26.0,1,1,0
1096,0,male,2,25.0,10.5,0,0,0
1097,0,male,1,,25.7417,0,0,1
1098,1,female,3,35.0,7.75,0,0,2
1099,0,male,2,24.0,10.5,0,0,0
1100,1,female,1,33.0,27.7208,0,0,1
1101,0,male,3,25.0,7.8958,0,0,0
1102,0,male,3,32.0,22.525,0,0,0
1103,0,male,3,,7.05,0,0,0
1104,0,male,2,17.0,73.5,0,0,0
1105,1,female,2,60.0,26.0,1,0,0
1106,1,female,3,38.0,7.775,4,2,0
1107,0,male,1,42.0,42.5,0,0,0
1108,1,female,3,,7.8792,0,0,2
1109,0,male,1,57.0,164.8667,1,1,0
1110,1,female,1,50.0,211.5,1,1,1
1111,0,male,3,,8.05,0,0,0
1112,1,female,2,30.0,13.8583,1,0,1
1113,0,male,3,21.0,8.05,0,0,0
1114,1,female,2,22.0,10.5,0,0,0
1115,0,male,3,21.0,7.7958,0,0,0
1116,1,female,1,53.0,27.4458,0,0,1
1117,1,female,3,,15.2458,0,2,1
1118,0,male,3,23.0,7.7958,0,0,0
1119,1,female,3,,7.75,0,0,2
1120,0,male,3,40.5,15.1,0,0,0
1121,0,male,2,36.0,13.0,0,0,0
1122,0,male,2,14.0,65.0,0,0,0
1123,1,female,1,21.0,26.55,0,0,0
1124,0,male,3,21.0,6.4958,1,0,0
1125,0,male,3,,7.8792,0,0,2
1126,0,male,1,39.0,71.2833,1,0,1
1127,0,male,3,20.0,7.8542,0,0,0
1128,0,male,1,64.0,75.25,1,0,1
1129,0,male,3,20.0,7.225,0,0,1
1130,1,female,2,18.0,13.0,1,1,0
1131,1,female,1,48.0,106.425,1,0,1
1132,1,female,1,55.0,27.7208,0,0,1
1133,1,female,2,45.0,30.0,0,2,0
1134,0,male,1,45.0,134.5,1,1,1
1135,0,male,3,,7.8875,0,0,0
1136,0,male,3,,23.45,1,2,0
1137,0,male,1,41.0,51.8625,1,0,0
1138,1,female,2,22.0,21.0,0,0,0
1139,0,male,2,42.0,32.5,1,1,0
1140,1,female,2,29.0,26.0,1,0,0
1141,1,female,3,,14.4542,1,0,1
1142,1,female,2,0.92,27.75,1,2,0
1143,0,male,3,20.0,7.925,0,0,0
1144,0,male,1,27.0,136.7792,1,0,1
1145,0,male,3,24.0,9.325,0,0,0
1146,0,male,3,32.5,9.5,0,0,0
1147,0,male,3,,7.55,0,0,0
1148,0,male,3,,7.75,0,0,2
1149,0,male,3,28.0,8.05,0,0,0
1150,1,female,2,19.0,13.0,0,0,0
1151,0,male,3,21.0,7.775,0,0,0
1152,0,male,3,36.5,17.4,1,0,0
1153,0,male,3,21.0,7.8542,0,0,0
1154,1,female,2,29.0,23.0,0,2,0
1155,1,female,3,1.0,12.1833,1,1,0
1156,0,male,2,30.0,12.7375,0,0,1
1157,0,male,3,,7.8958,0,0,0
1158,0,male,1,,0.0,0,0,0
1159,0,male,3,,7.55,0,0,0
1160,1,female,3,,8.05,0,0,0
1161,0,male,3,17.0,8.6625,0,0,0
1162,0,male,1,46.0,75.2417,0,0,1
1163,0,male,3,,7.75,0,0,2
1164,1,female,1,26.0,136.7792,1,0,1
1165,1,female,3,,15.5,1,0,2
1166,0,male,3,,7.225,0,0,1
1167,1,female,2,20.0,26.0,1,0,0
1168,0,male,2,28.0,10.5,0,0,0
1169,0,male,2,40.0,26.0,1,0,0
1170,0,male,2,30.0,21.0,1,0,0
1171,0,male,2,22.0,10.5,0,0,0
1172,1,female,3,23.0,8.6625,0,0,0
1173,0,male,3,0.75,13.775,1,1,0
1174,1,female,3,,7.75,0,0,2
1175,1,female,3,9.0,15.2458,1,1,1
1176,1,female,3,2.0,20.2125,1,1,0
1177,0,male,3,36.0,7.25,0,0,0
1178,0,male,3,,7.25,0,0,0
1179,0,male,1,24.0,82.2667,1,0,0
1180,0,male,3,,7.2292,0,0,1
1181,0,male,3,,8.05,0,0,0
1182,0,male,1,,39.6,0,0,0
1183,1,female,3,30.0,6.95,0,0,2
1184,0,male,3,,7.2292,0,0,1
1185,0,male,1,53.0,81.8583,1,1,0
1186,0,male,3,36.0,9.5,0,0,0
1187,0,male,3,26.0,7.8958,0,0,0
1188,1,female,2,1.0,41.5792,1,2,1
1189,0,male,3,,21.6792,2,0,1
1190,0,male,1,30.0,45.5,0,0,0
1191,0,male,3,29.0,7.8542,0,0,0
1192,0,male,3,32.0,7.775,0,0,0
1193,0,male,2,,15.0458,0,0,1
1194,0,male,2,43.0,21.0,0,1,0
1195,0,male,3,24.0,8.6625,0,0,0
1196,1,female,3,,7.75,0,0,2
1197,1,female,1,64.0,26.55,1,1,0
1198,0,male,1,30.0,151.55,1,2,0
1199,0,male,3,0.83,9.35,0,1,0
1200,0,male,1,55.0,93.5,1,1,0
1201,1,female,3,45.0,14.1083,1,0,0
1202,0,male,3,18.0,8.6625,0,0,0
1203,0,male,3,22.0,7.225,0,0,1
1204,0,male,3,,7.575,0,0,0
1205,1,female,3,37.0,7.75,0,0,2
1206,1,female,1,55.0,135.6333,0,0,1
1207,1,female,3,17.0,7.7333,0,0,2
1208,0,male,1,57.0,146.5208,1,0,1
1209,0,male,2,19.0,10.5,0,0,0
1210,0,male,3,27.0,7.8542,0,0,0
1211,0,male,2,22.0,31.5,2,0,0
1212,0,male,3,26.0,7.775,0,0,0
1213,0,male,3,25.0,7.2292,0,0,1
1214,0,male,2,26.0,13.0,0,0,0
1215,0,male,1,33.0,26.55,0,0,0
1216,1,female,1,39.0,211.3375,0,0,0
1217,0,male,3,23.0,7.05,0,0,0
1218,1,female,2,12.0,39.0,2,1,0
1219,0,male,1,46.0,79.2,0,0,1
1220,0,male,2,29.0,26.0,1,0,0
1221,0,male,2,21.0,13.0,0,0,0
1222,1,female,2,48.0,36.75,0,2,0
1223,0,male,1,39.0,29.7,0,0,1
1224,0,male,3,,7.225,0,0,1
1225,1,female,3,19.0,15.7417,1,1,1
1226,0,male,3,27.0,7.8958,0,0,0
1227,0,male,1,30.0,26.0,0,0,0
1228,0,male,2,32.0,13.0,0,0,0
1229,0,male,3,39.0,7.2292,0,2,1
1230,0,male,2,25.0,31.5,0,0,0
1231,0,male,3,,7.2292,0,0,1
1232,0,male,2,18.0,10.5,0,0,0
1233,0,male,3,32.0,7.5792,0,0,0
1234,0,male,3,,69.55,1,9,0
1235,1,female,1,58.0,512.3292,0,1,1
1236,0,male,3,,14.5,1,1,0
1237,1,female,3,16.0,7.65,0,0,0
1238,0,male,2,26.0,13.0,0,0,0
1239,1,female,3,38.0,7.2292,0,0,1
1240,0,male,2,24.0,13.5,0,0,0
1241,1,female,2,31.0,21.0,0,0,0
1242,1,female,1,45.0,63.3583,0,1,1
1243,0,male,2,25.0,10.5,0,0,0
1244,0,male,2,18.0,73.5,0,0,0
1245,0,male,2,49.0,65.0,1,2,0
1246,1,female,3,0.17,20.575,1,2,0
1247,0,male,1,50.0,26.0,0,0,0
1248,1,female,1,59.0,51.4792,2,0,0
1249,0,male,3,,7.8792,0,0,0
1250,0,male,3,,7.75,0,0,2
1251,1,female,3,30.0,15.55,1,0,0
1252,0,male,3,14.5,69.55,8,2,0
1253,1,female,2,24.0,37.0042,1,1,1
1254,1,female,2,31.0,21.0,0,0,0
1255,0,male,3,27.0,8.6625,0,0,0
1256,1,female,1,25.0,55.4417,1,0,1
1257,1,female,3,,69.55,1,9,0
1258,0,male,3,,14.4583,1,0,1
1259,1,female,3,22.0,39.6875,0,0,0
1260,1,female,1,45.0,59.4,0,1,1
1261,0,male,2,29.0,13.8583,0,0,1
1262,0,male,2,21.0,11.5,1,0,0
1263,1,female,1,31.0,134.5,0,0,1
1264,0,male,1,49.0,0.0,0,0,0
1265,0,male,2,44.0,13.0,0,0,0
1266,1,female,1,54.0,81.8583,1,1,0
1267,1,female,1,45.0,262.375,0,0,1
1268,1,female,3,22.0,8.6625,2,0,0
1269,0,male,2,21.0,11.5,0,0,0
1270,0,male,1,55.0,50.0,0,0,0
1271,0,male,3,5.0,31.3875,4,2,0
1272,0,male,3,,7.75,0,0,2
1273,0,male,3,26.0,7.8792,0,0,2
1274,1,female,3,,14.5,0,0,0
1275,1,female,3,19.0,16.1,1,0,0
1276,0,male,2,,12.875,0,0,0
1277,1,female,2,24.0,65.0,1,2,0
1278,0,male,3,24.0,7.775,0,0,0
1279,0,male,2,57.0,13.0,0,0,0
1280,0,male,3,21.0,7.75,0,0,2
1281,0,male,3,6.0,21.075,3,1,0
1282,0,male,1,23.0,93.5,0,0,0
1283,1,female,1,51.0,39.4,0,1,0
1284,0,male,3,13.0,20.25,0,2,0
1285,0,male,2,47.0,10.5,0,0,0
1286,0,male,3,29.0,22.025,3,1,0
1287,1,female,1,18.0,60.0,1,0,0
1288,0,male,3,24.0,7.25,0,0,2
1289,1,female,1,48.0,79.2,1,1,1
1290,0,male,3,22.0,7.775,0,0,0
1291,0,male,3,31.0,7.7333,0,0,2
1292,1,female,1,30.0,164.8667,0,0,0
1293,0,male,2,38.0,21.0,1,0,0
1294,1,female,1,22.0,59.4,0,1,1
1295,0,male,1,17.0,47.1,0,0,0
1296,0,male,1,43.0,27.7208,1,0,1
1297,0,male,2,20.0,13.8625,0,0,1
1298,0,male,2,23.0,10.5,1,0,0
1299,0,male,1,50.0,211.5,1,1,1
1300,1,female,3,,7.7208,0,0,2
1301,1,female,3,3.0,13.775,1,1,0
1302,1,female,3,,7.75,0,0,2
1303,1,female,1,37.0,90.0,1,0,2
1304,1,female,3,28.0,7.775,0,0,0
1305,0,male,3,,8.05,0,0,0
1306,1,female,1,39.0,108.9,0,0,1
1307,0,male,3,38.5,7.25,0,0,0
1308,0,male,3,,8.05,0,0,0
1309,0,male,3,,22.3583,1,1,1
